Intensity_db,DB dIM,dRetention
3575432.2,,
3178031,,
3042464,,
2848754.2,,
2705368,,
2444014,,
2318193.2,,
2240804.5,,
2212560,,
2166263,,
2157194.5,,
2157114.8,,
1988497.6,,
1903654.9,,
1883857.4,,
1787760.5,,
1757122.1,,
1691188,,
1557890.4,,
1529302.4,,
1486153.9,,
1463751.4,,
1444063.4,,
1435278.6,,
1427660.6,,
1414790,,
1414782.5,,
1412116.6,,
1354220.2,,
1338951.8,,
1318626.6,,
1302368.8,,
1286792.8,,
1285086.2,,
1279725.6,,
1266609.2,,
1256693.4,,
1232033.4,,
1214498,,
1213295.5,,
1211848.5,,
1204830.9,,
1184999.4,,
1177722.2,,
1169911.4,,
1136985.1,,
1122800.2,,
1073012.4,,
1071196.4,,
1039681.2,,
1021526.94,,
1002672.56,,
997778,,
997638.56,,
982908.56,,
961177.94,,
941920.2,,
925238.5,,
924637.7,,
886866.2,,
867989.8,,
861587.8,,
832958.7,,
828965.8,,
826093.2,,
819800.8,,
803384.75,,
794098.75,,
767064.2,,
765765.7,,
758434,,
702302.75,,
692318.25,,
690187.7,,
688606.25,,
663667.75,,
650447.1,,
644061.5,,
626226.75,,
597387.06,,
594119.5,,
586435.2,,
545633.8,,
483266.34,,
475326.25,,
456662,,
448018.88,,
442541.1,,
424281.4,,
413063.66,,
389960.47,,
378538.1,,
373181.12,,
355413.88,,
354767.6,,
348493.2,,
345198.3,,
323686.56,,
323589.56,,
319489.38,,
315594.6,,
313781.56,,
308767.8,,
306806.25,,
306158.97,,
304017.03,,
300559.06,,
299943.12,,
297729.62,,
296439.34,,
281852,,
270874.66,,
269137.84,,
266246.56,,
266039.4,,
249317.92,,
243291.88,,
242365.58,,
241644.55,,
240147.55,,
239811.55,,
239514,,
236223.17,,
230613.44,,
228478.31,,
222988.27,,
216034.92,,
214619.81,,
213068.08,,
211222.27,,
207061.33,,
205562.58,,
204193.23,,
202459.9,,
193880.05,,
190412.27,,
188353.81,,
187691.81,,
182715,,
181246.92,,
177886.95,,
175531.55,,
171804.38,,
167508.19,,
166902.9,,
166460.03,,
154298.69,,
150195.38,,
149732.39,,
147551.52,,
144836.33,,
136947.38,,
135734.25,,
133954.25,,
127159.875,,
124862.9,,
123028,,
121728.945,,
112777.25,,
112204.47,,
111671.99,,
109448.02,,
106636.27,,
99710.85,,
99316.164,,
99268.66,,
99221.96,,
97564.48,,
96503.5,,
94559.69,,
94032.914,,
92375.9,,
91607.51,,
89752.31,,
87863.46,,
83060.875,,
80212,,
78350.62,,
74068.64,,
73886.305,,
70124.63,,
64717.64,,
60584.027,,
59508.582,,
58968.668,,
55659.05,,
54424.26,,
51996.457,,
51799.76,,
48070.48,,
46928.7,,
45624.824,,
43564.43,,
40683.715,,
40365.83,,
38982.785,,
38891.613,,
36280.746,,
34870.23,,
34139.93,,
34092.98,,
33409.496,,
33081.68,,
32340.318,,
31704.188,,
30940.615,,
30355.88,,
27132.156,,
26685.107,,
26685.107,,
25925.938,,
25812.727,,
25781.898,,
25660.178,,
24932.885,,
24828.979,,
24506.344,,
24374.602,,
23915.432,,
23183.436,,
22931.115,,
22123.729,,
19730.71,,
19280.7,,
18921.988,,
18199.215,,
16274.634,,
15477.417,,
14791.967,,
14426.687,,
12512.484,,
12049.388,,
11831.106,,
11345.204,,
11247.737,,
9894.979,,
5773.8135,,
8370301,-0.0002,-4.427
8197033.5,-0.0015,-7.9266
8159518.5,-0.037,3.7372
8122523.5,-0.0049,20.0647
7450509.5,-0.0408,20.0647
7400100.5,-0.0023,0
7321770.5,-0.0347,4.3417
7266211,-0.0029,-10.2584
7161156.5,-1.00E-04,2.0089
7130043.5,-0.0045,-4.665
6791607,-0.0031,-2.6552
6776541.5,-0.045,-6.7607
6746824.5,-0.0437,2.3335
6720027.5,-0.0335,25.6584
6619421.5,-0.0083,24.4925
6483503.5,-0.0068,26.5016
6415651,-0.0453,-1.1661
6410695,-0.0059,-6.1539
6220529,-0.0447,-1.487
5994915.5,-0.0057,-8.1646
5965937,-0.0486,3.7372
5954291.5,-0.0501,-4.427
5935365,-0.0053,-7.3207
5599515.5,-0.0026,0.6395
5547668,-0.0021,1.0687
5444834,-0.0035,-3.5968
5420854,-0.0039,-4.0248
5335197,-0.0502,24.4925
5320012,-0.0406,20.8951
5301191,-0.0519,-3.4996
5222161.5,-0.0521,9.0084
5189303,-0.0379,21.6335
5179791,-0.0513,16.0053
5066430.5,-0.0073,25.1308
4782002.5,-0.0068,-7.0964
4765643,-0.0061,-7.5228
4695825,-0.0083,25.5593
4452791.5,-0.0494,-2.858
4145122.2,-0.0058,-8.2626
3807635.8,-0.0533,16.968
3770262.2,-0.0541,-3.5968
3445889.8,-0.0605,23.3261
3445866.2,-0.0558,5.7338
2550965,-0.0684,22.3966
2346841.5,-0.0674,2.0089
2310289.8,-0.0666,19.5038
2210258.5,-0.0697,3.4994
2117589.8,-0.0368,2.2863
2095988.4,-0.0476,2.8817
2062557.1,-0.0088,7.5461
2041419.6,-0.0066,4.6177
