Intensity,DB dIM,dRetention
109032.04,0.3562,-149.0819
106677.82,0.4089,-166.5541
101033.875,0.3759,-167.7214
99504.65,-0.081,-157.8985
99450.81,-0.081,-160.2301
96100,0.3757,-171.2198
95191.414,0.3025,-170.2144
93366.91,-0.0289,-160.2301
90311.91,0.379,-172.3855
85131.6,-0.08,-163.7297
77417.64,0.009,-157.8985
63925.51,0.3696,-164.2156
63324.043,0.2933,-167.4007
60180.906,0.2986,-165.281
57211.668,0.2906,-167.6886
57005.312,-0.0087,-161.3969
51561.95,0.3701,-164.9563
41753.977,-0.0619,-234.1708
40560.58,-0.066,-234.3757
39743.46,-0.0652,-232.0431
38251.12,0.2987,-161.5695
33315.973,-0.0654,-229.2151
31634.83,-0.0653,-232.9252
30268.273,-0.0637,-230.592
27739.479,-0.0642,-230.5787
26233.275,-0.0647,-229.413
24920.258,0.3733,-160.1609
22337.057,0.2451,-158.2548
19737.395,0.3735,-157.3512
17784.148,0.3761,-141.9282
10318.337,0.354,-326.512
9863758,-0.0261,105.8687
9284570,-0.02,107.641
9266093,-0.011,104.1421
9216392,-0.0186,108.3303
9207363,-0.0095,105.9977
9196945,0.0025,105.9977
8693367,-0.015,98.8711
8505177,0.0024,97.7044
8462556,0.0068,100.6437
8090469.5,-0.0213,109.7845
8044896,-0.0122,103.952
7981852,-0.0215,107.9847
7891694,-0.0221,113.8157
7828482,-0.0174,99.4761
7771605.5,-0.0166,100.9861
7703708,-0.0166,101.3324
7502929.5,-0.0053,100.1659
7423391.5,-0.0157,123.3616
7277750.5,-0.0179,99.2881
7223594,-0.0182,97.1444
7155994,-0.0188,95.3725
7086413.5,-0.017,98.9997
6979070.5,0.0006,98.1209
6558158.5,-0.0167,130.4926
6390446.5,-0.0181,125.4788
6253359.5,-0.0176,128.634
6135100,-0.0228,96.6672
5827317.5,-0.0221,95.7884
5398564.5,-0.0191,128.4448
5221875,-0.0254,120.2451
5194252,-0.0189,109.7494
5153823.5,-0.0179,108.0543
4948116.5,-0.0212,106.2496
4897488.5,-0.0003,105.7224
4755581,-0.0206,104.5564
4400955,-0.0216,102.7511
4252324.5,-0.0195,132.5472
4114444.8,-0.0193,102.2214
4082848.8,-0.0209,134.2393
3109452,-0.0212,115.6529
3092371.8,-0.023,114.4061
3046821,-0.0244,110.9875
2948566.8,-0.0248,109.7405
2748353.5,-0.0243,107.4884
2452803,-0.0256,106.2417
2004369.4,-0.0245,140.1435
1678863.6,-0.0251,116.4927
1648069.6,-0.0276,111.828
1630276.4,-0.0277,115.3662
1581297.6,-0.0279,138.896
1560108.4,-0.0288,111.8648
1521765.2,-0.0288,139.8578
1238932.2,-0.0257,108.3291
1230083.1,-0.0309,108.3658
942196.3,-0.0271,140.9872
937073.7,-0.0266,118.3051
934538.56,-0.028,125.0857
925404.7,-0.0246,125.0857
905051,-0.0247,116.9207
899366.2,-0.0264,113.6392
791260.8,-0.0264,113.4221
670153.4,-0.0273,110.1407
248976.67,-0.0266,117.3667
240725.2,-0.0257,117.4459
160402.62,-0.0267,112.7029
152085.17,-0.0272,112.7775
120880.336,-0.0178,97.3415
120073.57,0.0248,101.2031
111031.64,0.0288,116.4973
101788.48,-0.2723,100.0366
99214.75,-0.2351,103.5356
97739.195,-0.257,102.3705
92924.59,-0.2482,111.8321
90269.21,-0.0283,116.0918
89699.24,-0.2469,108.6175
87708.21,-0.2539,104.1421
83441.12,-0.2575,102.9757
81685.74,-0.0283,114.9256
78726.71,0.0234,103.3193
78608.8,-0.2391,107.4512
77085.84,0.0228,102.1539
76255.67,0.0275,115.6151
74558.336,-0.2363,112.305
73839.54,-0.2446,105.9977
71431.62,-0.2287,105.9977
70543.4,-0.238,104.4857
67887.734,-0.0274,113.7591
67474.24,-0.2522,109.1502
65618.94,-0.2662,105.6515
65352.95,-0.2311,103.6647
51427.844,-0.0324,77.8782
46145.543,-0.0341,119.7606
43892.375,-0.0343,118.1711
42084.5,-0.0312,118.5941
33336.367,-0.0341,122.3156
33055.875,-0.0344,83.3471
22659.88,-0.0366,119.3077
15525.056,0.0064,182.6948
9782506,0.0048,-268.0481
9782129,-0.0124,-254.0497
9664546,-0.0033,-272.7134
9376566,-0.0131,-255.7272
9337517,0.0033,-261.5582
9277800,-0.0052,-269.7215
9204295,-0.0115,-276.2121
9034554,-0.0049,-266.9046
9014518,-0.013,-273.2199
8778621,0.0311,-257.5489
8660627,-0.0091,-270.4029
8494702,0.018,-243.9233
8362965.5,-0.0034,-242.4134
7932384,-0.0176,-276.7193
7863294.5,0.0145,-240.0815
7740486,-0.0012,-267.2475
7664612,-0.0075,-271.9126
7643272.5,-0.0217,-250.92
7520097.5,-0.0323,-257.7754
7508373.5,-0.0024,-269.437
7299832,-0.0173,-251.9438
7247184,-0.0164,-273.9027
7180584,-0.0194,-275.4188
6986831.5,-0.003,-278.5453
6986831.5,-0.0149,-278.5453
6959133.5,-0.0159,-272.9368
6885546.5,-0.0108,-275.2689
6885218.5,-0.0283,-275.2689
6867953.5,-0.0043,-242.7576
6727417.5,-0.0018,-243.7793
4916518.5,-0.0524,-263.8909
4727766,-0.0082,-258.8409
4719280,-0.0274,-243.6802
4667140,-0.0122,-262.3394
4629772.5,-0.0209,-263.5062
4619105.5,-0.0064,-263.5062
4438181,-0.02,-257.9714
4391062.5,0.0068,-249.8078
4385093.5,-0.0126,-262.6358
4375656.5,-0.0226,-267.004
4211624,-0.027,-266.1354
4211624,-0.0116,-266.1354
4056165.8,-0.0532,-263.4059
3959961.2,-0.0268,-268.1706
3959961.2,-0.0061,-268.1706
3830611.2,-0.0526,-267.1063
3395031.8,-0.0069,-234.3496
3379243.8,-0.0248,-269.6343
3047068.8,-0.0576,-264.915
2716903.5,-0.0163,-233.4806
2712855.5,-0.0605,-268.0481
2695014.5,-0.0609,-254.1758
2691450.5,-0.0593,-253.0099
2241391.8,-0.0622,-253.3074
2235456.2,-0.0073,-250.8982
2234407.8,-0.0264,-252.6407
2227800.2,-0.0166,-255.5633
2224984.2,-0.01,-256.1383
2216787.5,-0.0328,-243.9002
2164308,-0.0063,-260.2284
2163312,-0.0221,-261.9704
2069665.1,-0.0242,-261.395
1788066.4,-0.0673,-256.5088
1771422.4,-0.0153,-265.4686
1751746.4,-0.0294,-264.8934
1751746.4,-0.0143,-264.8934
1542900.2,-0.0696,-264.5719
1119797.5,-0.0741,-267.3896
1072740.1,-0.0195,-251.285
1030669.75,-0.0382,-254.0916
1030445.06,-0.0156,-251.7593
1028969.25,-0.018,-258.2817
1028969.25,-0.0354,-258.2817
1002517.56,-0.0174,-258.7569
949842.25,-0.072,-264.7735
911930.2,-0.0361,-261.0897
851522.25,-0.015,-266.6343
835869.56,-0.0171,-262.2551
809111.2,-0.0307,-262.9466
536404.6,-0.0224,-250.6719
488702.47,-0.0253,-257.6695
473984.5,-0.0154,-253.3299
465677.62,-0.0228,-254.4969
457559.22,-0.0285,-258.8361
405448,-0.0377,-236.6776
375006.75,-0.0423,-237.0017
319173.44,-0.0051,-257.9952
315314.22,-0.0348,-259.1618
229051.7,-0.0812,-267.1063
184877.08,-0.0857,-262.2405
131397.27,-0.089,-262.4412
131192.38,-0.0221,-245.3865
122499.28,-0.09,-261.4163
118485.53,-0.0134,-252.3569
117835.055,-0.032,-250.0518
112315.836,-0.0917,-260.2503
110264.945,-0.0317,-253.5503
93546.48,-0.0102,-255.881
88042.586,-0.1117,-268.0481
78898.86,-0.263,-262.2137
71674.26,-0.2517,-255.2429
71282.77,-0.2342,-256.3822
66694.87,-0.2475,-257.5736
63054.434,-0.2682,-258.0588
62372.387,-0.239,-256.8927
62099.902,-0.2449,-259.2261
55735.89,-0.0164,-206.4496
54335.113,-0.0411,-249.5249
43574.87,-0.0188,-204.1168
41211.203,-0.0097,-189.9328
35673.715,-0.0149,-191.2878
34933.773,-0.011,-194.7881
34238.895,-0.0205,-250.6906
30301.33,0.0024,310.8856
16440.908,-0.0224,-196.0769
14092.711,-0.2513,-260.1078
13182.0625,-0.0193,-182.1657
12096.542,-0.0417,-244.1636
11141.454,-0.0253,-239.9295
9538996,,
9412975,,
9082222,,
8943663,,
8387528.5,,
7733238.5,,
7392853.5,,
7162226.5,,
6702290,,
5945392.5,,
5731042.5,,
5694039.5,,
5635109.5,,
5579146,,
5247324,,
5117938.5,,
5052598,,
4950274,,
4895044,,
4883920.5,,
4828337,,
4582670.5,,
4491871.5,,
4326978,,
4017126.8,,
3931980.8,,
3722882,,
3667301.8,,
3606543.2,,
3594554.8,,
3165255.8,,
2946704.8,,
2817756.8,,
2714183,,
2642165.8,,
2637180.8,,
2632057.8,,
2621535.8,,
2472915.5,,
2459999.8,,
2366408.8,,
2327216,,
2010951.5,,
1934950.4,,
1831708.4,,
1556797.9,,
1542174.1,,
1501425.4,,
1442265.9,,
1379718.5,,
1259262.1,,
1190688.5,,
1187263.2,,
997475.5,,
884803.25,,
884459.7,,
880873.94,,
857237.75,,
833793.25,,
689606.5,,
473345.12,,
245672.25,,
229567.83,,
217271.14,,
211137.81,,
199892.33,,
194534.81,,
148602.81,,
134620.05,,
114742.625,,
112361.586,,
105119.98,,
100893.81,,
100716.94,,
100486.625,,
99060.1,,
97689.32,,
80382.19,,
68425.5,,
54476.816,,
40534.06,,
39067.715,,
20113.234,,
17447.592,,
8847.072,,
3705.607,,
9216876,0.0191,-283.8063
8948656,0.0183,-281.903
8787858,0.0184,-280.1838
8170154.5,0.0188,-282.3239
8158614.5,0.0163,-287.3062
8025525.5,0.0171,-259.3155
7488202.5,0.0262,-277.0259
7481810,0.015,-255.6877
7480214.5,0.0155,-284.0245
7139187.5,0.0143,-285.8214
7027418,0.0147,-283.682
6839092.5,0.0575,-284.6553
6719097.5,0.0566,-284.0245
6637098.5,0.0136,-257.4105
6482567.5,0.0144,-285.4014
6414419.5,0.0138,-286.357
6381901.5,-0.0206,-276.8101
6087408,0.0125,-288.1539
6043707.5,-0.0217,-278.4038
5713306.5,0.0123,-286.0162
5616659.5,0.0134,-257.8321
5445774,0.0118,-289.6371
5402997.5,0.0102,-287.7349
5316833.5,0.0125,-275.7833
5303491.5,0.0102,-276.2947
4871765.5,0.0098,-288.69
4848138.5,0.0121,-289.3212
4832948,0.0085,-279.794
4390244,0.0087,-279.2816
4275903,0.0099,-251.8045
4205197,0.0111,-251.2875
3998431,0.0058,-282.1266
3844805.2,0.0076,-281.6141
3309266.2,0.0068,-270.395
3297554.8,-0.0291,-274.6939
3250855.2,0.0069,-272.9065
3220120,0.0049,-273.8946
2987208.2,0.0032,-276.4064
2782249.8,0.0024,-277.3933
2701498,-0.0319,-275.5197
2579055,0.0034,-278.74
2338843,0.0017,-248.4159
2325136,0.0035,-245.9049
1901784.5,0.0062,-265.0227
1894561.5,0.0008,-268.5209
1880703.1,0.0032,-270.8541
1875267.6,0.0005,-266.1616
1846408.4,-0.0031,-270.828
1751431.9,-0.0047,-274.3256
1678467,0.001,-274.3524
1588939.6,-0.0043,-275.4922
1567380.9,0.0694,-275.6433
1536013.5,0.0628,-281.4752
1427526,0.066,-270.24
1402859,0.06,-280.737
1352403.8,0.0658,-270.8539
1342304.6,0.0589,-284.9723
1316037.8,0.0605,-279.0174
1138460.1,0.0667,-275.3256
1120635.8,0.0601,-281.1566
1083083,0.0037,-264.2358
1065039.1,0.001,-265.756
1061610.4,0.0023,-268.0888
1054969,0.0026,-268.9002
1037392.8,0.0003,-272.3991
983642.94,0.0634,-278.1925
978815.8,0.0603,-280.5258
950986.75,0.0026,-271.5868
936009.5,-0.004,-241.6715
813926.7,0.0585,-285.8214
784118.2,-0.0036,-239.745
718875.25,-0.0017,-238.5795
695849.44,-0.0379,-279.141
542363.25,0.0012,-243.5968
384778.66,0.0581,-272.284
383851.16,0.0577,-271.6296
365030.22,0.0558,-275.7833
284223.7,0.0027,-264.9712
272518.34,0.0006,-265.4887
240341.31,0.0006,-270.154
234722.42,0.0005,-269.6356
183346.94,-0.2578,-274.1596
183072.31,-0.2416,-280.3081
175974.2,-0.2457,-278.4038
173695.23,-0.2372,-279.9904
172019.14,-0.1613,-272.0207
172006.62,-0.18,-273.3114
171472.44,-0.153,-271.4055
165174.23,-0.2333,-276.6856
161062.1,-0.1488,-272.1439
159174.27,-0.1365,-270.24
148653.39,-0.1738,-276.4926
148095.39,-0.2508,-274.3524
147950.66,-0.2249,-281.903
145618.19,-0.1323,-270.8539
140832.47,-0.0019,-266.5946
138324.92,-0.0012,-267.7599
137085.98,-0.2374,-277.8515
134121.1,-0.2385,-278.1925
130691.93,-0.2545,-278.1925
126806.055,-0.2347,-279.3585
115315.54,-0.0017,-268.9265
61733.543,-0.0088,-265.9737
59148.113,0.0166,-196.6349
58409.293,-0.0057,-264.3761
57142.777,0.0154,-205.8819
56486.902,0.015,-196.2043
52369.234,0.0116,-195.0379
43455.53,-0.006,-265.5425
41410.33,0.0201,-204.1747
40298.477,0.0088,-354.2152
40074.348,0.0151,-207.6741
39858.645,0.0455,-266.1616
37595.547,0.0054,-359.6147
37470.945,0.0138,-222.2946
37328.957,0.0498,-267.3287
37061.28,0.0027,-358.8805
36811.28,0.0491,-267.3555
34686.195,0.0064,-355.9906
33540.99,-0.0088,-263.212
33303.273,0.0102,-354.9494
33196.805,-0.0063,-262.0456
31766.154,-0.0087,-263.0422
31406.902,0.0022,-359.829
30037.82,-0.0091,-261.8751
29061.914,0.0014,-359.4891
27394.523,0.0016,-362.7944
24979.494,0.0106,-201.6538
16294.41,0.0514,-263.0696
15542.61,0.0493,-261.0907
15190.028,0.0008,-354.4349
15055.093,0.0507,-262.2569
8825867,0.0201,34.2134
8286677.5,0.0192,30.7147
8235298.5,0.0539,38.316
8201989.5,0.019,36.676
8143802.5,0.0186,35.9833
7924587.5,0.0186,58.7059
7433534.5,0.0159,33.1775
7338858,0.0171,32.4857
7138617.5,0.0177,61.1672
7132733.5,0.0536,39.2979
7115090,0.0168,35.7986
6678313.5,0.0167,60.4764
6671078.5,0.0166,32.3006
6663960.5,0.0166,35.0121
6091116.5,0.0148,32.0112
5834804,0.0158,31.5131
5449137.5,0.0707,37.15
5324025.5,0.0166,60.2898
5174633,0.0747,35.3804
5004631,0.0169,59.5061
4453481,0.0119,41.5892
4413421,0.013,41.0658
4317442.5,0.0749,40.1757
3993726.8,0.0113,37.5673
3933348.2,0.0761,31.881
3764786.2,0.073,38.5135
3741633.2,0.0726,38.1316
3725981.2,0.0106,38.0909
3690385,0.0138,65.5562
3620481.8,0.0747,35.5111
3530603.2,0.013,66.0814
3226581.2,0.0738,35.0121
3213698.8,0.0758,36.676
3164521.8,0.0735,34.6336
2809254.8,0.0101,48.6642
2662899.8,0.0062,45.0834
2651853.5,0.0056,43.9985
2587781,0.0655,48.0638
2440284.5,0.0493,53.246
2330674,0.006,40.4997
2292769.5,0.0055,41.5851
2026170,0.0079,69.5734
1939459.9,0.0687,48.5864
1937838,0.0668,41.5892
1906791.4,0.044,54.1696
1689514.4,0.0083,73.1549
1665426.4,0.069,42.7552
1625410.4,-0.0132,51.836
1617250.9,0.0202,49.5046
1579775.4,0.0175,58.8731
1575914.4,0.0035,46.0039
1545787.4,0.001,47.2095
1394513.8,0.0012,43.7119
1359569.2,0.0019,42.5061
1357725.1,-0.0112,67.0351
1171762.9,0.0047,70.4976
1088043.5,0.0022,71.7011
1068163.6,0.0031,40.1735
907465.3,0.0091,55.7639
893309.5,-0.0205,57.1484
866163.56,0.0039,49.9324
860498.06,0.0026,47.8172
716745.7,0.0057,46.4352
671567.94,0.0045,43.1526
668121.9,0.059,51.8747
622457.7,0.0054,72.3081
547300.9,0.0036,80.2566
330742.88,0.0609,53.0419
313917.16,-0.0182,59.7842
286347.1,-0.0904,45.877
283070.2,-0.1092,43.5445
267916.75,-0.1019,44.1476
249803.7,-0.0739,44.7098
245295.17,0.0053,55.1204
242528.58,-0.0207,51.6203
236898.94,-0.0979,46.0066
234660.45,-0.1252,36.5466
230034.05,-0.095,46.295
