Library Decoy Hyperscore,One genome Decoy
12.061,11.564
8.744,16.84
10.604,20.985
9.516,17.508
10.974,11.033
8.777,20.1
9.953,13.257
11.441,17.704
8.63,17.915
10.385,15.759
10.173,21.687
8.53,15.865
11.108,13.503
10.152,13.977
8.778,17.804
10.932,17.353
11.617,17.059
9.948,15.155
8.515,15.225
9.679,13.699
9.474,16.863
9.337,15.535
9.779,14.985
8.177,19.421
8.826,15.884
9.778,15.729
8.684,21.191
8.722,13.784
10.49,15.741
9.844,16.99
9.837,14.052
8.156,14.97
12.209,17.508
13.101,13.764
10.391,11.058
9.763,15.918
8.774,14.123
7.66,15.2
9.659,16.864
9.44,14.284
12.347,12.559
10.616,12.977
11.039,15.114
12.052,15.097
8.843,17.825
11.16,15.304
8.349,16.577
9.599,17.331
10.151,14.104
9.029,17.227
11.117,14.899
9.846,14.998
10.655,16.193
11.71,15.313
8.175,16.859
8.999,19.488
12.239,14.022
9.358,16.223
10.609,20.829
9.068,19.407
10.651,15.968
10.151,16.535
10.706,14.98
9.483,13.641
10.784,19.268
11.273,14.93
9.54,16.68
11.889,11.553
9.31,17.11
10.539,19.098
9.137,13.69
13.539,13.312
12.52,17.529
9.163,15.667
11.286,16.797
10.938,12.704
8.659,15.003
10.742,14.781
8.556,15.121
9.62,17.077
9.411,12.439
11.168,20.591
11.395,11.149
10.557,14.57
10.861,18.855
12.546,15.182
10.782,19.311
10.729,16.846
9.893,15.284
10.447,16.302
7.533,14.868
9.077,15.849
9.548,14.374
8.737,16.313
10.647,18.13
12.17,11.318
9.858,15.435
9.232,15.177
11.921,19.654
12.919,18.466
10.078,16.746
8.922,16.405
12.186,16.097
9.107,17.264
11.063,12.409
11.22,11.517
9.45,18.629
6.164,17.048
7.04,12.549
10.161,16.786
11.164,17.062
9.253,19.171
8.895,14.842
9.153,14.875
9.263,15.866
8.285,14.243
9.886,13.102
9.43,15.501
10.309,15.317
9.709,15.447
13.259,16.757
8.618,13.312
9.631,15.847
8.733,14.695
11.182,13.786
10.64,17.029
12.156,15.471
8.225,15.84
9.005,14.341
10.186,13.614
9.919,13.243
10.196,16.575
9.21,15.521
9.004,16.078
9.166,16.013
8.856,17.317
11.446,17.694
9.527,16.515
12.556,17.085
9.173,13.289
11.926,18.352
7.848,13.434
8.722,11.231
10.74,15.082
10.94,16.803
10.88,17.464
12.065,17.032
9.679,14.856
9.639,12.338
9.78,17.247
8.672,15.049
8.601,17.739
10.838,16.86
11.27,14.764
9.992,16.476
11.092,17.051
13.298,15.88
9.813,17.538
9.269,15.575
10.075,14.916
9.845,12.414
12.367,13.114
10.866,15.499
10.789,14.676
11.855,16.605
7.408,17.054
11.272,13.514
8.384,10.488
11.467,15.049
10.402,20.691
9.896,16.737
11.018,17.375
9.875,11.309
11.369,14.658
9.926,16.221
9.258,16.883
9.929,16.282
8.331,19.228
10.647,14.794
10.684,16.176
10.44,13.837
10.402,15.231
8.732,16.883
11.233,15.418
10.89,11.18
10.521,17.199
9.79,21.277
10.469,17.027
12.443,16.643
9.121,15.519
8.582,15.197
10.411,13.763
7.861,13.14
11.668,17.266
6.907,18.816
13.286,11.212
8.467,15.814
8.343,18.032
8.915,15.255
10.59,17.026
9.728,17.503
9.587,12.691
7.199,15.091
9.488,15.374
11.339,16.116
8.441,17.139
10.381,15.025
10.427,13.487
10.392,16.34
10.49,17.544
9.163,15.341
10.937,18.239
12.82,15.688
9.803,13.495
11.497,16.941
12.067,17.73
9.541,17.173
11.563,15.59
11.784,14.159
10.266,15.657
10.648,16.91
8.959,18.114
9.811,16.061
10.436,18.671
11.624,15.136
10.346,12.945
8.94,11.543
12.846,16.908
10.109,19.565
9.466,20.073
10.548,13.527
8.411,12.489
11.947,16.68
10.895,14.822
10.582,16.274
11.704,12.874
12.015,15.545
9.903,14.624
9.499,16.581
9.121,15.635
11.705,16.295
12.289,11.075
11.091,19.303
11.384,22.78
10.115,14.585
9.567,11.672
11.128,15.721
10.101,14.753
10.779,14.39
10.526,13.753
11.831,14.702
10.303,17.055
9.202,15.481
10.364,13.27
9.788,18.725
8.024,13.624
10.303,17.625
6.554,16.558
10.904,14.39
12.639,13.762
11.242,13.634
10.231,21.28
12.078,13.549
10.149,13.297
12.064,15.887
10.592,18.943
10.872,15.941
9.134,16.335
10.382,14.141
9.3,15.882
9.418,13.69
10.321,15.578
11.473,15.033
9.211,16.977
10.7,15.462
8.021,15.247
11.836,14.795
10.208,14.767
9.01,15.952
9.813,15.629
11.885,15.556
10.327,15.325
7.253,16.878
9.594,13.067
11.312,14.246
10.151,17.039
8.05,15.186
10.745,14.872
10.133,14.76
13.737,18.343
8.449,15.154
12.33,16.935
9.896,19.068
10.375,14.26
9.309,12.007
11.032,16.442
9.722,13.286
12.769,17.274
12.546,14.503
8.933,11.387
9.846,15.202
10.191,13.534
11.054,15.119
9.698,15.282
9.14,16.558
9.011,16.384
9.214,15.202
9.431,17.051
7.678,15.081
8.263,13.011
9.706,17.889
11.171,13.495
10.242,15.536
9.56,13.742
9.138,14.458
9.045,13.096
9.997,13.59
9.381,18.312
10.894,13.855
10.943,14.075
11.181,13.489
9.431,17.873
12.959,17.282
