Ecoli time (s),Ecoli Intensity,S. typhimurium time (s),S. typhimurium Intensity
86.56,0,86.227,0
86.685,60,86.354,0
86.813,0,86.484,35
86.939,47,86.613,50
87.068,0,86.741,0
87.19,0,87.301,47
87.318,0,87.834,45
87.446,0,87.964,57
87.898,95,88.092,0
88.429,376,88.222,0
88.555,154,88.35,0
88.684,123,88.483,0
89.136,59,88.612,0
89.984,116,88.741,0
90.514,131,88.869,85
90.644,0,89.002,0
90.875,104,89.133,21
91.003,0,89.263,0
91.128,0,89.386,89
91.258,0,89.511,0
91.386,49,89.636,0
91.512,153,89.767,61
91.642,0,89.895,151
91.77,0,90.447,0
91.897,117,91.296,0
92.022,0,91.825,128
92.149,0,91.956,195
92.279,0,92.086,36
92.408,0,92.214,0
92.536,0,92.348,296
92.661,124,92.475,51
92.786,98,92.603,235
92.917,80,92.731,0
93.046,86,92.863,0
93.177,0,92.989,64
93.3,257,93.118,0
93.428,114,93.247,140
93.558,21,93.806,0
93.685,0,94.549,0
93.815,205,95.079,71
93.938,0,95.206,0
94.062,0,95.334,0
94.192,145,95.461,43
94.321,309,95.588,0
94.667,0,95.713,65
95.197,124,95.841,0
95.325,0,95.972,0
95.45,131,96.096,54
95.572,0,96.226,0
95.703,0,96.351,0
95.832,0,96.475,0
95.961,0,96.606,0
96.092,96,96.734,227
96.22,148,96.857,25
96.351,64,96.982,0
96.478,128,97.108,0
96.604,273,97.237,89
96.729,0,97.365,75
96.855,0,97.819,23
96.986,59,98.559,0
97.114,0,98.684,0
97.244,0,98.809,0
97.693,123,98.936,201
98.223,69,99.065,0
98.349,172,99.191,71
98.475,68,99.748,52
98.601,79,100.278,95
98.728,0,100.406,0
98.853,98,100.535,0
98.98,0,100.665,0
99.109,155,100.791,0
99.235,0,100.92,106
99.364,82,101.048,305
99.919,148,101.172,205
100.449,0,101.3,57
101.007,0,101.431,140
101.538,0,101.56,98
101.667,637,101.686,0
101.797,0,101.813,0
101.926,56,101.943,22
102.052,0,102.071,0
102.175,63,102.201,0
102.305,0,102.329,0
102.432,71,102.457,236
102.56,44,102.585,0
102.688,0,102.715,0
102.813,0,102.845,0
102.943,0,102.974,66
103.072,124,103.427,0
103.203,0,104.38,75
103.33,0,104.911,0
103.458,0,105.47,0
103.588,123,106.317,0
103.719,0,107.069,0
103.849,248,107.204,0
103.976,105,107.335,0
104.1,0,107.465,0
104.227,0,107.594,141
104.357,0,107.724,123
104.488,72,107.852,0
104.618,0,108.405,130
104.745,87,108.935,0
104.874,0,109.065,139
105.001,166,109.193,0
105.13,0,109.318,142
105.684,147,109.448,0
106.215,48,109.577,0
106.56,112,109.701,0
107.091,98,109.826,87
107.331,59,109.955,113
107.862,0,110.078,0
107.991,0,110.206,115
108.123,0,110.335,287
108.254,165,110.458,0
108.384,0,110.585,100
108.511,85,110.712,0
108.639,161,111.272,0
108.764,267,111.802,160
108.889,132,111.929,59
109.02,0,112.059,49
109.149,0,112.189,75
109.279,20,112.321,219
109.839,0,112.448,0
110.581,249,112.571,126
111.112,0,112.699,177
111.239,170,112.825,101
111.362,0,112.954,0
111.915,0,113.083,0
112.445,0,113.209,89
112.576,0,113.337,77
112.703,0,113.462,132
113.049,0,113.594,0
113.58,0,113.719,0
113.707,0,113.85,0
113.836,180,113.975,0
113.961,0,114.102,0
114.082,164,114.227,0
114.206,84,114.353,98
114.66,0,114.477,138
115.297,0,114.605,0
115.425,0,114.735,0
115.557,153,114.865,0
115.686,85,114.993,0
115.817,181,115.122,211
115.946,0,115.246,109
116.074,0,115.376,0
116.203,58,115.504,87
116.334,0,115.632,0
116.461,139,115.762,23
116.592,219,116.317,101
116.718,0,116.847,0
116.847,0,117.3,89
116.975,0,117.83,0
117.105,0,118.385,0
117.559,0,119.233,66
118.301,180,120.081,0
118.832,91,120.611,129
118.961,78,120.738,0
119.091,172,120.869,113
119.223,66,121.429,50
119.346,56,121.958,0
119.476,157,122.085,0
119.603,0,122.536,0
119.734,0,123.702,0
119.864,0,124.231,121
119.99,0,124.678,0
120.109,0,125.524,0
120.235,0,126.374,0
120.361,12,126.903,77
120.491,0,127.028,208
120.619,0,127.482,139
120.746,0,128.011,215
120.877,123,128.571,0
121.007,0,129.102,0
121.135,122,129.556,0
121.266,0,130.191,0
121.612,0,131.145,228
121.741,0,131.783,44
121.871,0,132.312,0
122.002,0,132.442,0
122.128,87,132.573,0
122.252,0,132.705,0
122.381,0,132.834,0
122.511,0,133.392,141
122.644,39,133.924,82
122.77,170,134.054,0
122.896,0,134.613,100
123.024,69,135.355,0
123.153,0,136.128,112
123.282,198,136.659,217
123.41,0,136.785,225
123.537,19,136.917,0
123.67,0,137.04,0
123.801,39,137.166,0
124.361,207,137.292,99
124.89,55,137.42,0
125.019,0,137.547,0
125.149,136,137.672,46
125.278,0,137.802,0
125.836,0,137.931,0
126.365,0,138.061,0
126.489,49,138.51,37
126.619,0,139.041,0
126.75,38,139.171,203
126.878,167,139.301,0
127.005,0,139.427,0
127.131,0,139.556,0
127.261,0,139.681,348
127.389,357,139.808,91
127.519,62,139.933,0
127.642,76,140.059,0
127.769,0,140.188,62
127.899,0,140.313,0
128.35,0,140.438,374
128.882,0,140.568,0
129.009,109,140.697,143
129.135,0,140.826,18
129.264,0,140.951,0
129.396,222,141.081,213
129.521,0,141.211,0
129.648,0,141.658,105
129.773,0,142.189,0
129.903,0,142.32,0
130.027,0,142.444,139
130.157,9,142.573,0
130.278,121,142.704,52
130.408,94,142.834,249
130.533,58,142.962,0
130.657,0,143.088,61
130.783,212,143.325,0
130.908,79,143.856,0
131.035,0,143.981,0
131.159,0,144.111,135
131.29,0,144.241,0
131.422,78,144.37,542
131.547,75,144.495,0
131.672,0,144.627,0
131.799,192,144.752,0
131.928,0,144.881,0
132.059,78,145.007,0
132.186,0,145.132,304
132.313,0,145.261,0
132.444,0,145.713,0
132.572,0,146.244,0
132.702,0,146.372,212
132.831,0,146.503,0
132.958,109,146.629,48
133.086,164,147.079,126
133.214,0,147.611,61
133.344,26,147.733,168
133.472,0,147.864,90
133.597,0,147.993,42
133.724,64,148.12,0
133.853,0,148.569,153
134.201,0,149.1,0
134.732,127,149.548,252
134.856,9,150.395,0
134.985,0,150.925,0
135.117,0,151.052,154
135.249,147,151.182,0
135.377,77,151.305,168
135.506,0,151.433,0
135.634,0,151.986,0
135.762,0,152.115,156
135.894,140,152.251,345
136.022,0,152.389,30
136.151,0,152.515,37
136.278,0,152.641,0
136.408,0,152.764,0
136.538,0,152.893,0
136.667,0,153.022,96
136.798,0,153.151,163
136.927,0,153.277,256
137.054,334,153.407,66
137.181,0,153.536,51
137.308,63,153.666,102
137.43,0,153.795,286
137.559,0,153.918,0
137.689,0,154.04,0
137.82,0,154.171,0
137.949,0,154.301,107
138.075,34,154.431,106
138.202,0,154.557,0
138.332,121,154.684,0
138.462,252,154.808,157
138.589,0,154.933,0
138.716,0,155.493,31
138.958,30,156.236,0
139.086,193,156.365,109
139.214,0,156.497,165
139.34,0,156.63,0
139.469,0,156.76,236
139.598,96,156.885,110
139.726,0,157.334,0
139.856,139,157.863,0
139.986,185,157.991,0
140.114,0,158.122,0
140.246,147,158.677,144
140.374,69,159.419,69
140.505,0,159.544,89
140.631,183,160.1,0
140.761,0,160.629,0
140.89,0,161.192,0
141.021,134,161.722,55
141.152,104,161.85,76
141.28,150,161.978,0
141.41,245,162.109,70
141.537,461,162.236,0
141.663,0,162.363,221
142.01,0,162.924,184
142.138,0,163.877,0
142.698,0,164.726,228
143.228,37,165.256,55
143.356,71,165.386,0
143.484,197,165.517,57
143.608,0,165.647,0
143.733,0,165.776,0
143.861,0,165.902,278
143.987,99,166.031,0
144.118,59,166.161,185
144.241,200,166.293,0
144.367,0,166.749,0
144.499,0,167.278,64
144.626,0,167.4,94
144.757,53,167.526,211
144.886,69,167.652,0
145.012,50,167.784,132
145.358,33,167.914,0
145.888,0,168.034,47
146.017,159,168.157,73
146.143,0,168.503,192
146.275,0,169.033,416
146.401,0,169.159,52
146.526,84,169.715,271
146.656,0,170.245,0
146.778,0,170.375,0
146.907,0,170.502,47
147.034,0,170.632,106
147.165,0,171.078,178
147.296,0,171.609,108
147.419,115,172.164,106
147.548,124,172.694,74
147.677,0,172.824,113
147.804,0,172.953,216
147.931,0,173.084,175
148.057,51,173.431,114
148.186,40,174.278,96
148.317,181,175.445,58
148.446,96,176.399,0
148.573,0,177.247,0
148.697,281,178.413,0
148.828,0,179.155,0
148.957,66,180.109,139
149.089,91,181.276,199
149.217,47,181.806,0
149.341,0,182.365,0
149.467,0,183.107,0
149.812,0,183.637,0
150.342,0,184.405,57
150.47,126,185.253,0
150.601,77,185.89,76
150.722,0,186.237,94
150.857,214,187.085,208
150.981,0,187.616,0
151.11,0,187.743,0
151.232,41,187.872,0
151.363,370,188.22,87
151.491,0,188.749,0
151.62,161,188.878,165
151.751,100,189.225,0
151.877,83,189.861,0
152.002,0,190.39,176
152.133,0,190.841,243
152.26,111,191.796,0
152.387,0,192.963,0
152.51,0,194.128,0
152.638,77,195.294,0
153.09,94,196.143,96
153.619,199,196.885,0
153.746,58,197.84,0
153.873,0,198.793,220
154.001,135,199.959,0
154.127,0,200.808,0
154.253,78,201.974,0
154.38,150,202.822,0
154.506,0,203.352,0
154.634,45,204.126,0
154.764,100,205.293,0
154.893,162,206.459,0
155.023,240,207.625,187
155.15,0,208.791,0
155.277,0,209.851,0
155.406,0,211.017,0
155.532,0,212.184,102
155.661,59,213.138,45
